"","Credit.Rating","Balance.of.Current.Account","Duration.of.Credit","Payment.of.Previous.Credits","Purpose.of.Credit","Amount.of.Credit","Value.of.Savings","Employed.by.Current.Employer.for","Installment.in...of.Available.Income","Marital.Status","Gender","Living.in.Current.Household.for","Most.Valuable.Assets","Age","Further.running.credits","Type.of.Apartment","Number.of.previous.credits.at.this.bank","Occupation"
"675","bad","<= $300",36,"no previous credits","furniture",5894,"no savings","1-5 years","< 15","single","male","1-5 years","life insurance",24,"no further running credits","rented","one","skilled employee"
"676","good",">$300",48,"paid back","new car",3851.4,">1400","> 8 years","< 15","single","male","5-8 years","life insurance",36,"no further running credits","rented","2- 4","skilled employee"
"677","good","no balance",18,"no previous credits","furniture",1212.4,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","no assets",23,"no further running credits","rented","one","unskilled with permanant residence"
"678","good","no balance",21,"no problems with current credits","other",3294.2,"no savings","1-5 years","> 35","divorced/living apart","male",">8 years","car",45,"no further running credits","rented","2- 4","skilled employee"
"679","bad","no balance",18,"paid back","other",1478.4,"no savings","> 8 years","15- 25","single","male","5-8 years","no assets",28,"no further running credits","rented","2- 4","skilled employee"
"680","bad","no running account",18,"no previous credits","new car",10515.4,">1400","> 8 years","> 35","single","male",">8 years","car",49,"no further running credits","owned","one","skilled employee"
"681","good",">$300",22,"no previous credits","furniture",3745,"140-700","> 8 years","15- 25","single","male",">8 years","life insurance",38,"no further running credits","rented","one","skilled employee"
"682","good",">$300",24,"no previous credits","furniture",3197.6,"no savings","5-8 years","< 15","single","male","1-5 years","life insurance",26,"no further running credits","rented","one","skilled employee"
"683","bad","no balance",12,"no previous credits","furniture",9055.2,">1400","unemployed","25-35","single","male","< 1 year","ownership of house or land",50,"no further running credits","rented","one","executive/self-employed"
"684","good","no balance",12,"paid back","other",1341.2,"no savings","5-8 years","25-35","single","male","5-8 years","no assets",45,"no further running credits","rented","2- 4","unskilled with permanant residence"
"685","good","no running account",10,"paid back","other",1453.2,"no savings","5-8 years","< 15","single","male","5-8 years","car",47,"no further running credits","rented","2- 4","skilled employee"
"686","good","no balance",36,"no problems with current credits","retraining",13799.8,"<140","5-8 years","> 35","single","male","5-8 years","car",29,"no further running credits","rented","2- 4","unskilled with permanant residence"
"687","bad","no running account",12,"hesistant","other",1514.8,"no savings","1-5 years","< 15","single","male",">8 years","life insurance",46,"at other banks","rented","2- 4","skilled employee"
"688","good",">$300",10,"no previous credits","other",1985.2,"<140","1-5 years","15- 25","single","male","1-5 years","no assets",33,"no further running credits","free","one","unskilled with permanant residence"
"689","good","no balance",18,"no problems with current credits","other",4058.6,">1400","> 8 years","< 15","single","male",">8 years","life insurance",41,"no further running credits","rented","one","skilled employee"
"690","good",">$300",48,"no problems with current credits","furniture",17848.6,"140-700","5-8 years","< 15","single","male","< 1 year","life insurance",35,"no further running credits","rented","one","executive/self-employed"
"691","good","no running account",6,"no previous credits","used car",1923.6,"no savings","1-5 years","> 35","single","male","1-5 years","no assets",34,"at other banks","rented","one","unskilled with permanant residence"
"692","good",">$300",9,"paid back","furniture",4303.6,">1400","1-5 years","> 35","single","male","1-5 years","no assets",31,"no further running credits","rented","2- 4","skilled employee"
"693","good","no running account",15,"no problems with current credits","used car",5100.2,"no savings","> 8 years","> 35","divorced/living apart/married","female",">8 years","car",25,"no further running credits","rented","2- 4","unskilled with permanant residence"
"694","bad","no running account",36,"no previous credits","new car",11669,">1400","> 8 years","15- 25","single","male",">8 years","ownership of house or land",45,"no further running credits","owned","one","skilled employee"
"695","bad","no running account",24,"no previous credits","used car",3302.6,"<140","unemployed","> 35","divorced/living apart","male","< 1 year","car",31,"no further running credits","rented","one","skilled employee"
"696","bad","no balance",9,"no previous credits","furniture",2338,"no savings","<1 year","< 15","divorced/living apart/married","female","1-5 years","life insurance",20,"no further running credits","rented","one","skilled employee"
"697","good",">$300",24,"no previous credits","new car",3644.2,"700-1400","1-5 years","25-35","divorced/living apart/married","female",">8 years","life insurance",26,"no further running credits","free","one","skilled employee"
"698","bad",">$300",18,"no previous credits","other",9465.4,">1400","1-5 years","25-35","single","male",">8 years","life insurance",66,"at department store","free","2- 4","skilled employee"
"699","good",">$300",6,"no previous credits","new car",1730.4,"140-700","1-5 years","25-35","single","male",">8 years","car",48,"no further running credits","free","one","skilled employee"
"700","good","no running account",9,"no previous credits","used car",2990.4,"no savings","1-5 years","15- 25","single","male","1-5 years","no assets",23,"no further running credits","rented","one","skilled employee"
"701","good","no running account",9,"paid back","other",3918.6,"no savings","1-5 years","25-35","single","male","1-5 years","no assets",34,"no further running credits","free","2- 4","skilled employee"
"702","good",">$300",48,"paid back","repair",8554,"no savings","1-5 years","> 35","single","male","5-8 years","ownership of house or land",29,"at other banks","owned","one","skilled employee"
"703","good",">$300",24,"paid back","new car",3284.4,"no savings","5-8 years","< 15","single","male","5-8 years","life insurance",33,"no further running credits","rented","2- 4","skilled employee"
"704","good","no running account",15,"paid back","used car",2006.2,"no savings","1-5 years","< 15","divorced/living apart/married","female","5-8 years","car",23,"no further running credits","free","2- 4","skilled employee"
"705","bad",">$300",36,"no previous credits","repair",2546.6,"no savings","1-5 years","< 15","single","male",">8 years","ownership of house or land",35,"at department store","owned","one","skilled employee"
"706","good","no running account",14,"no previous credits","other",5562.2,"no savings","unemployed","> 35","single","male",">8 years","ownership of house or land",20,"no further running credits","owned","one","skilled employee"
"707","good",">$300",12,"no previous credits","furniture",1086.4,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","no assets",26,"no further running credits","rented","one","skilled employee"
"708","bad","no running account",27,"hesistant","retraining",7410.2,"no savings","unemployed","25-35","single","male",">8 years","car",48,"no further running credits","rented","2- 4","skilled employee"
"709","good","no balance",9,"no previous credits","furniture",1688.4,"no savings","> 8 years","< 15","divorced/living apart/married","female",">8 years","no assets",23,"no further running credits","rented","one","skilled employee"
"710","good","no balance",12,"no previous credits","furniture",875,"no savings","<1 year","< 15","married/widowed","male","< 1 year","no assets",24,"at other banks","rented","one","unskilled with permanant residence"
"711","good","no balance",12,"no previous credits","other",1409.8,"700-1400","1-5 years","< 15","married/widowed","male","< 1 year","no assets",20,"no further running credits","rented","one","skilled employee"
"712","good","no running account",12,"no previous credits","furniture",981.4,"no savings","1-5 years","< 15","married/widowed","male","1-5 years","no assets",38,"no further running credits","rented","one","unskilled with permanant residence"
